Rank	Team	Nationality	Time
1	LA COMPAGNIE KEYHOLE	CA	0:49:51
2	RIDDLER SUKIYAKI	JP	0:53:33
3	UNITED DISCORD	US	0:58:06
4	FAR EAST SOLVERS	JP	0:58:55
5	DAWAJ MICHAŁ BO AUTOBUS NAM UCIEKNIE	PL	1:03:28
6	SHUNGYOU	JP	1:06:33
7	ZESTY WOMBATS	US	1:10:02
8	AMAZEING	PL	1:11:03
9	TEAM PROSPECT	US	1:11:45
10	ALOHAS	JP	1:12:57
11	POPARZENI CHŁODNIKIEM	PL	1:14:20
12	JOIN OUR GUILD!	JP	1:14:23
13	EWARSAW EAGLES	PL	1:15:49
14	TEAM SQUARED	GB	1:18:07
15	POZIOMKI I ELO	PL	1:18:14
16	ZNAMY SIĘ TYLKO Z TINDERA	PL	1:18:36
17	WALENIE	PL	1:19:52
18	DELTA SZWADRON SUPER COOL KOMANDO WILKÓW ALPHA	PL	1:20:17
19	KAMT	JP	1:20:29
20	VANISH THE ESCAPE GOAT	US	1:20:42
21	ZABUJCY	PL	1:21:23
22	HONTE	PL	1:22:07
23	CLOCKROW	JP	1:23:32
24	FOXJAPAN	JP	1:24:06
25	PERLATORZY	PL	1:25:33
26	\(^.^)/	PL	1:26:28
27	UN TRÉSOR À PARIS	FR	1:28:43
28	A JA SIĘ PYTAM GDZIE SĄ DRZWI	PL	1:30:35
29	ALOHOMORA!	PL	1:31:29
30	SHEEPYSHIP	PL	1:32:49
31	TEAM UNICORN	NL	1:33:28
32	PANDASONIC	PL	1:33:55
33	FITGEEKS	PL	1:34:17
34	ESCAPETHEDEADLOCK	US	1:34:28
35	TRIPLE IPA	PL	1:34:35
36	ZAGADKOWCY	PL	1:34:56
37	TEAM SHE TELLS YOU NOT TO WORRY ABOUT	PL	1:35:42
38	FLIEHKRAFT	DE	1:35:51
39	794150203	PL	1:36:43
40	BRING YOUR OWN KEY	PL	1:37:03
41	THE SIGN OF THE FOUR	US	1:37:23
42	ORKA PRZYMIERZA	PL	1:38:02
43	EDYTA&CO.+	PL	1:39:57
44	ELEMENTAL GUESSING MACHINE	US	1:40:59
45	PEEPOSAD	PL	1:43:18
46	PROROK ŻEREMIASZ I JEGO DZIELNE BOBRY	PL	1:44:48
47	DESIGN IS KAMI	JP	1:44:52
48	PRAWOWICI MISTRZOWIE 2K19	PL	1:46:04
49	NAZWA TEAMU	CH	1:46:37
50	MANIUSZKI	PL	1:47:02
51	ZESPÓŁ ER	PL	1:47:25
52	4 KOTY	PL	1:48:26
53	ŁÓDZKI KLUB UCIEKINIERÓW	PL	1:50:34
54	TEAM 27	PL	1:54:09
55	KRWIOŻERCZE MARSZPIKLE	PL	1:58:56
56	INFANDYBULARNI CHRONOSYNKLASYCZNIE	PL	2:04:58
57	UCIEKINIERZY Z SAN ESCOBAR	PL	2:05:47
58	GAME CIRCLE NOVA	JP	2:06:30
59	OKOŃ	PL	2:09:25
60	TIME OF MYSTERIES	PL	2:09:59
61	OSTRY NA GRUBYM	PL	2:11:04
62	ZAŁOGA UCIEKINIERÓW SKOORDYNOWANYCH	PL	2:16:13
63	KŁIS	PL	2:18:00
64	DRUŻYNA ER	PL	2:20:07
65	NAZWE ZMIENIMY POZNIEJ	PL	2:20:07
66	CYRK NA KÓŁKACH	PL	2:22:21
67	DZIKI PANCERNIKI	PL	2:22:35
68	PLANSZOHOLICY	PL	2:23:28
69	DRUŻYNA WESOŁEGO FURA	PL	2:25:43
70	JAMM	PL	2:25:53
71	NIE MA CZASU	PL	2:26:29
72	HMOCH	PL	2:28:00
73	FELLOSHIP UNDER THE IMPS	PL	2:32:14
74	TE NAMOLNE DZIECIAKI	PL	2:33:00
75	MUSZKIETEROWIE	PL	2:33:59
76	PANDA EXPRESS	PL	2:34:12
77	DZIKIE KOTY	PL	2:37:28
78	FUZJONERS	PL	2:39:18
79	BOKSEGÆS	DK	2:39:47
80	HECTIC PUZZLERS	FR	2:42:44
81	DZIKIE ŚWINIE	PL	2:43:16
82	DORNADOS	US	2:46:32
