Rank	Name	Nationality	Time
1	UNITED DISCORD	USA	1:46:26
2	ORKA PRZYMIERZA	PL	1:49:28
3	AMAZEING	PL	1:56:07
4	FAR EAST SOLVERS	JP	1:56:27
5	PEEPOSAD	PL	2:03:42
6	ESCAPETHEDEADLOCK	USA	2:03:43
7	LA COMPAGNIE KEYHOLE	CAN	2:04:11
8	DZIKI PANCERNIKI	PL	2:06:16
9	DELTA SZWADRON SUPER COOL KOMANDO WILKÓW ALPHA	PL	2:06:53
10	DAWAJ MICHAŁ BO AUTOBUS NAM UCIEKNIE	PL	2:08:34
11	ZESTY WOMBATS	USA	2:09:25
12	TEAM SQUARED	GB	2:10:24
13	POZIOMKI I ELO	PL	2:11:23
14	EWARSAW EAGLES	PL	2:11:30
15	MUSZKIETEROWIE	PL	2:12:31
16	PERLATORZY	PL	2:14:49
17	TEAM PROSPECT	USA	2:20:08
18	KŁIS	PL	2:21:28
19	FOXJAPAN	JP	2:23:23
20	JOIN OUR GUILD!	JP	2:23:57
21	JESZCZE NAZWY POTRZEBUJEMY!	PL	2:25:02
22	A JA SIĘ PYTAM GDZIE SĄ DRZWI	PL	2:26:24
23	KRWIOŻERCZE MARSZPIKLE	PL	2:26:36
24	TEAM 27	PL	2:27:19
25	KAMT	JP	2:29:52
26	RIDDLER SUKIYAKI	JP	2:29:59
27	HONTE	PL	2:31:04
28	NIE MA CZASU	PL	2:32:29
29	CHRZĄSZCZE I TRZMIELE	PL	2:32:36
30	DZIKIE KOTY	PL	2:32:53
31	4 KOTY	PL	2:35:32
32	OKOŃ	PL	2:39:23
33	ZAŁOGA UCIEKINIERÓW SKOORDYNOWANYCH	PL	2:40:01
34	HMOCH	PL	2:40:32
35	BRING YOUR OWN KEY	PL	2:40:47
36	ALOHOMORA!	PL	2:41:00
37	15 MINUTES AND WE'RE OUT	PL	2:41:45
38	HEXLU	PL	2:42:04
39	EASTER TEAM	PL	2:42:11
40	ZNAMY SIĘ TYLKO Z TINDERA	PL	2:42:22
41	THE SIGN OF THE FOUR	USA	2:43:22
42	UCIEKINIERZY Z SAN ESCOBAR	PL	2:44:18
43	PROROK ŻEREMIASZ I JEGO DZIELNE BOBRY	PL	2:45:07
44	DORNADOS	USA	2:46:39
45	FITGEEKS	PL	2:46:46
46	PIONA!	PL	2:47:38
47	JAMM	PL	2:48:29
48	TEAM SHE TELLS YOU NOT TO WORRY ABOUT	PL	2:51:02
49	FLIEHKRAFT	DE	2:52:16
50	SHEEPYSHIP	PL	2:52:53
51	DRUŻYNA ER	PL	2:53:03
52	CUTE GIRLS DOING CUTE THINGS	PL	2:54:49
53	WALENIE	PL	2:55:15
54	ALOHAS	JP	2:55:25
55	CYRK NA KÓŁKACH	PL	2:55:41
56	PANDA EXPRESS	PL	2:55:47
57	SŁUDZY BELIARA	PL	2:56:15
58	ELEMENTAL GUESSING MACHINE	USA	2:56:57
59	GAME CIRCLE NOVA	JP	2:57:07
60	CAN U ESCAPE?	PL	2:57:27
61	TRUTNIE	PL	2:59:56
62	DZIKIE ŚWINIE	PL	3:01:16
63	WAITING FOR NAPTIME	PL	3:03:24
64	TE NAMOLNE DZIECIAKI	PL	3:05:23
65	ZESPÓŁ ER	PL	3:05:42
66	SHUNGYOU	JP	3:05:53
67	BEZ ŁADU I SKŁADU	PL	3:07:06
68	ESCAPEKOMANDO	PL	3:07:28
69	WYPUŚĆCIE NAS & REBELS	PL	3:08:02
70	HECTIC PUZZLERS	FR	3:08:17
71	PANDASONIC	PL	3:08:50
72	TRIPLE IPA	PL	3:10:27
73	VANISH THE ESCAPE GOAT	USA	3:11:57
74	ZABUJCY	PL	3:13:32
75	DESIGN IS KAMI	JP	3:14:03
76	BOKSEGÆS	DK	3:15:49
77	794150203	PL	3:16:43
78	OSTRY NA GRUBYM	PL	3:16:56
79	UN TRÉSOR À PARIS	FR	3:17:41
80	IQ TEAM	PL	3:18:22
81	ZAGADKOWCY	PL	3:18:39
82	KALASHNIKOV	PL	3:18:47
83	PRAWOWICI MISTRZOWIE 2K19	PL	3:19:01
84	NAZWA TEAMU	CH	3:19:36
85	FUZJONERS	PL	3:21:11
86	CLOCKROW	JP	3:21:37
87	TYM RAZEM SIE UDA	PL	3:21:56
88	SZALONE TRAPERY	PL	3:22:38
89	\(^.^)/	PL	3:24:00
90	ŁÓDZKI KLUB UCIEKINIERÓW	PL	3:24:00
91	INFANDYBULARNI CHRONOSYNKLASYCZNIE	PL	3:24:02
92	EDYTA&CO.+	PL	3:24:11
93	POPARZENI CHŁODNIKIEM	PL	3:24:18
94	PLANSZOHOLICY	PL	3:24:28
95	NAZWE ZMIENIMY POZNIEJ	PL	3:24:34
96	FELLOSHIP UNDER THE IMPS	PL	3:24:36
97	MANIUSZKI	PL	3:25:19
98	TEAM UNICORN	NL	3:26:31
99	DRUŻYNA WESOŁEGO FURA	PL	3:27:43
100	TIME OF MYSTERIES	PL	3:28:21
101	RIDDLER_SUSHI	JP	3:29:00
102	KAPCIE 1.0	PL	3:29:25
103	WIOSKA SMERFÓW	PL	3:29:29
104	HULK I SPÓŁKA	PL	3:30:47
105	PIEKARNIA BEZ WAŁKA	PL	3:31:40
106	KUSTOPALA	PL	3:31:56
107	DEPARTED IMMORTALS	PL	3:32:32
108	MMM	PL	3:33:07
109	TO TRZEBA USIĄŚĆ NA SPOKOJNIE	PL	3:33:16
110	UCIEKAJĄCE KURCZAKI	PL	3:34:10
111	KULTURYSTYKA	PL	3:34:13
112	KUPIŁEM DZISIAJ UKULELE	PL	3:34:43
113	X'; UPDATE RESULTS SET WIN = 1 WHERE NAME = 'X'; SELECT '	PL	3:35:19
114	YAY FROM THE BAY	USA	3:35:37
115	F-13	PL	3:36:12
116	NARANCS KRUMPLINÉP-FRONT	HU	3:37:45
117	CHOCHLIKI	PL	3:37:46
118	JAN TANGRAM TRZECI	PL	3:38:05
119	PIERWSZORZĘDNI	PL	3:38:33
120	KOMANDO LPG+	PL	3:39:34
121	ROJBRY	PL	3:39:49
122	LEMON ON A PEAR	USA	3:41:21
123	LASEROWE JEDNOROŻCE	PL	3:41:22
124	NIEZORGANIZOWANA BANDA CHAMÓW + POLA	PL	3:42:06
125	A JA WOLĘ PIWO	PL	3:42:22
126	USS CODECRUSHER (SAT14:1E)	PL	3:43:50
127	LUBIMY DUŻE QBECZKI	PL	3:44:28
128	ONTSNAPPJE	NL	3:45:09
129	ZMĘCZENI ŻYCIEM	PL	3:46:23
130	KLUSKIIKROKIETY	PL	3:46:58
131	NINJA	JP	3:47:52
132	FLEGMATYCZNE FOCZKI	PL	3:51:55
133	DRUŻYNA SUCHARA	PL	3:52:34
134	TRZEJ MUSZKIETEROWIE	PL	3:52:39
135	O JEDEN POKÓJ ZA DALEKO	PL	3:54:35
