Rank	Team	Nationality	Time
1	6 Keys	US	1:36:46
2	chungusPound	US	1:47:42
3	✅	US	1:52:54
4	Hydra	JP	1:53:56
5	Merkantylizm	PL	2:05:24
6	United Discord	US	2:09:52
7	Les Wyrds	FR	2:10:03
8	Team Paul's Clever Name	US	2:11:25
9	Les Boulets	FR	2:11:57
10	RIDDLER SUKIYAKI	JP	2:12:20
11	Dopimino	PL	2:13:28
12	Walenie	PL	2:17:38
13	La Compagnie Keyhole	CA	2:18:58
14	TheYonZone	IL	2:19:48
15	Hercules	JP	2:20:20
16	Missing: escape team	IT	2:20:57
17	PierroGang	IT	2:24:42
18	Try Hard	GB	2:25:19
19	RISOTTO	JP	2:28:11
20	Locurio	US	2:29:51
21	Kalashnikov	PL	2:30:14
22	Hardnuts_rikei	JP	2:34:43
23	Average HoMM3 Enjoyers	PL	2:35:11
24	Antosie	PL	2:35:48
25	peeposad	PL	2:36:58
26	FOXJAPAN Dash	JP	2:37:22
27	Ngargersiul	PL	2:39:43
28	CoToZaRoznica	PL	2:42:41
29	GALIJUDUNO	FR	2:43:11
30	Die Freunde der Nullflaschen	DE	2:43:24
31	Escapinality	US	2:45:06
32	Dawaj Michał bo autobus nam ucieknie	PL	2:45:12
33	EGM	US	2:46:21
34	Dzikie Koty	PL	2:46:36
35	Cztery mróweczki	PL	2:47:38
36	Czy finał też można robić w piątkę?	PL	2:47:56
37	Easter Team	PL	2:47:56
38	Great Cat Saurus	JP	2:49:14
39	GC NOVA	JP	2:49:57
40	Honte	PL	2:50:21
41	KKDOS_UNKO	JP	2:50:43
42	JELENIE W TERENIE	PL	2:50:48
43	Comment est votre blanquette	FR	2:53:33
44	Team Squared	GB	2:55:11
45	Murwa kać	PL	2:55:32
46	Qubits	SE	2:56:22
47	In vest igators	PL	2:58:04
48	RIDDLER_SUSHI	JP	2:58:12
49	Panda Bandits	GB	2:58:13
50	Nazwa Teamu	CH	2:58:16
51	SHERLOCKED	PL	2:58:43
52	HPF	FR	2:58:46
53	PKz	FR	3:00:44
54	Wyspa One Piece ER Team	PL	3:01:00
55	Szefunie	PL	3:03:54
56	Dinusie pimpusie	PL	3:09:22
57	Ta sama co zawsze	PL	3:10:09
58	限界	JP	3:11:56
59	Panda Express	PL	3:12:09
60	Novice Escape Solvers	US	3:13:36
61	The Raving Crabs	US	3:14:13
62	FAR EAST SOLVERS	JP	3:14:18
63	Ostry na Grubym	PL	3:15:25
64	Nora Żyje	PL	3:15:39
65	HARAMI	JP	3:16:42
66	Apocalypse3K	PL	3:17:43
67	FcDrużyna	PL	3:19:30
68	Second Breakfast Club	US	3:20:12
69	another real team	US	3:23:44
70	testowanko	PL	3:24:02
71	Łapserdaki	PL	3:25:03
72	KNC	JP	3:28:08
73	E KURNA BOBER!	PL	3:28:40
74	NoName	PL	3:28:42
75	Fighting Ferrets	US	3:29:03
76	Escape Szpajtal	PL	3:29:22
77	Drużyna suchara	PL	3:30:33
78	Niezdecydowani	PL	3:30:53
79	Pasqdni	PL	3:31:03
80	Mackerel JP	JP	3:31:24
81	Poptartpuzzles	US	3:31:43
82	Wroom	PL	3:33:07
83	Mysteria	FR	3:33:15
84	Alohomora!	PL	3:33:34
85	11.06	PL	3:34:39
86	CKCOS	TW	3:35:42
87	Króliczki Łukaszka	PL	3:36:09
88	Dajewescy team	PL	3:36:51
89	LyonBreak	FR	3:36:52
90	The Montrealers	CA	3:37:16
91	Śmieszki	PL	3:37:56
92	PushBoxxxxx	PL	3:38:15
93	BanzaiMIAO!	IT	3:38:23
94	SheepyShip	PL	3:39:09
95	Borysa już z nami nie ma	PL	3:40:10
96	Waltz Tango Foxtrot	US	3:40:14
97	Departed Immortals	PL	3:42:03
98	Zespół eR	PL	3:43:06
99	Munsterowo	PL	3:43:39
100	TEAM MAY	JP	3:45:20
101	#fitgeeks	PL	3:45:28
102	Hello are you hungry	TW	3:45:34
103	NyrdSquad	PL	3:50:18
104	Rahmen the Great	JP	3:50:36
105	Bombelki	PL	3:51:50
106	PandyGórą	PL	3:51:54
107	Shungyo	JP	3:51:58
108	Antypandy	PL	3:52:46
109	The Enigma	VN	3:53:09
110	Soba Shogun	PL	3:53:47
111	Słudzy Beliara	PL	3:54:50
112	zadkemdoústsaurus	PL	3:55:08
113	deculoabocasaurio	PL	3:55:09
114	Zbiorowy udar mózgu w kosmosie	PL	3:55:59
115	Fuzjoners	PL	3:57:17
116	BanderozaMasters	PL	3:57:18
117	Oryginalny Delta Szwadron Super Cool Komando Wilków Alfa	PL	3:57:47
118	Laserowe Jednorożce	PL	3:58:24
119	Lunch Eryka	PL	3:59:35
120	<div> Placeholder </div>	US	3:59:41
